item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_geo::workflow::predicates_plugin::PolygonContainsLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonContainsPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonContainsPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonCoversLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonCoversPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonIntersectsLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PolygonIntersectsPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PredicateChecked,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::RectContainsPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::RectIntersectsRectParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::linestring_intersects_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::point_within_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::point_within_rect_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_contains_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_contains_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_contains_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_covers_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_covers_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_intersects_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::polygon_intersects_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::rect_contains_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::rect_intersects_rect_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::DensifyLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::DensifyPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::GeoTransformationsPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::MapCoordsLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::MapCoordsPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::MapCoordsPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
