item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
axum::extract::ws::close_code::UNSUPPORTED,Constant,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `axum::extract::ws::close_code::UNSUPPORTED` so the full public API surface is represented,
axum::extract::ws::rejection::ConnectionNotUpgradable,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::ConnectionNotUpgradable` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::InvalidConnectionHeader,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::InvalidConnectionHeader` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::InvalidProtocolPseudoheader,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::InvalidProtocolPseudoheader` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::InvalidUpgradeHeader,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::InvalidUpgradeHeader` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::InvalidWebSocketVersionHeader,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::InvalidWebSocketVersionHeader` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::MethodNotConnect,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::MethodNotConnect` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::MethodNotGet,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::MethodNotGet` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::WebSocketKeyHeaderMissing,Struct,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::WebSocketKeyHeaderMissing` and make the new wrapper `ElicitComplete`,
axum::extract::ws::rejection::WebSocketUpgradeRejection,Enum,axum::extract::ws,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::ws::rejection::WebSocketUpgradeRejection` and make the new wrapper `ElicitComplete`,
axum::form::Form,Struct,axum::form::Form,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::form::Form` and make the new wrapper `ElicitComplete`,
axum::handler::Handler,Trait,axum::handler::Handler,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `axum::handler::Handler` so the full public API surface is represented,
axum::handler::HandlerWithoutStateExt,Trait,axum::handler::HandlerWithoutStateExt,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `axum::handler::HandlerWithoutStateExt` so the full public API surface is represented,
axum::handler::Layered,Struct,axum::handler::Layered,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::handler::Layered` and make the new wrapper `ElicitComplete`,
axum::handler::future::IntoServiceFuture,Struct,axum::handler::future,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::handler::future::IntoServiceFuture` and make the new wrapper `ElicitComplete`,
axum::handler::future::LayeredFuture,Struct,axum::handler::future,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::handler::future::LayeredFuture` and make the new wrapper `ElicitComplete`,
axum::handler::private::IntoResponseHandler,Enum,axum::handler::private,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::handler::private::IntoResponseHandler` and make the new wrapper `ElicitComplete`,
